"UTC","Year","Mo","Da","Ho","Mi","Se","LatDef","LonDef","MwDef",""
"1987-5-2T20:43:53.32","1987","05","02","20","43","53","44.810","10.694","4.71",""
"1987-5-6T18:20:31","1987","05","06","18","20","31","37.648","14.923","3.10",""
"1987-5-8T11:10:27.88","1987","05","08","11","10","28","44.861","11.157","4.44",""
"1987-5-24T10:23:24.76","1987","05","24","10","23","25","45.726","10.668","4.63",""
"1987-5-24T13:13:56.33","1987","05","24","13","13","56","39.437","14.977","4.16",""
"1987-6-6T22:54:52.76","1987","06","06","22","54","53","37.706","14.195","4.03",""
"1987-6-29T13:7:24.58","1987","06","29","13","07","25","42.698","15.311","4.16",""
"1987-7-3T10:21:57.64","1987","07","03","10","21","58","43.198","13.902","5.06",""
"1987-7-3T10:46:56.62","1987","07","03","10","46","57","45.409","7.567","4.08",""
"1987-7-3T11:55:24.88","1987","07","03","11","55","25","43.220","13.820","4.02",""
"1987-7-3T17:38:2.66","1987","07","03","17","38","03","43.191","13.880","4.34",""
"1987-7-5T13:12:37.46","1987","07","05","13","12","37","43.758","12.208","4.44",""
"1987-7-5T23:54:17.16","1987","07","05","23","54","17","43.193","13.838","4.22",""
"1987-7-8T4:29:15.91","1987","07","08","04","29","16","43.779","12.245","3.70",""
"1987-7-10T8:9:27.25","1987","07","10","08","09","27","46.002","10.930","4.11",""
"1987-7-11T1:46:52.02","1987","07","11","01","46","52","44.771","11.306","4.20",""
"1987-7-21T15:16:47.69","1987","07","21","15","16","48","45.098","8.731","4.82",""
"1987-8-13T7:22:9.91","1987","08","13","07","22","10","37.752","15.006","4.75",""
"1987-9-1T0:4:40.51","1987","09","01","00","04","41","40.687","15.556","4.05",""
"1987-9-4T16:42:49.6","1987","09","04","16","42","50","43.187","13.849","4.66",""
"1987-9-10T13:24:23.24","1987","09","10","13","24","23","43.253","13.879","4.38",""
"1987-9-22T4:24:54.82","1987","09","22","04","24","55","43.244","13.860","4.13",""
"1987-10-27T18:20:33.88","1987","10","27","18","20","34","39.639","15.622","4.68",""
"1987-12-15T7:35:42.18","1987","12","15","07","35","42","39.050","15.564","4.68",""
"1988-1-8T13:5:46.75","1988","01","08","13","05","47","40.011","15.940","4.70",""
"1988-1-12T23:1:0.68","1988","01","12","23","01","01","40.308","15.461","4.52",""
"1988-2-1T11:22:41.3","1988","02","01","11","22","41","46.359","13.090","4.13",""
"1988-2-1T14:21:38.3","1988","02","01","14","21","38","46.348","13.076","4.62",""
"1988-2-4T19:37:36.5","1988","02","04","19","37","36","46.354","13.095","4.33",""
"1988-2-8T11:24:46.14","1988","02","08","11","24","46","44.098","10.426","4.34",""
"1988-2-8T13:36:44.64","1988","02","08","13","36","45","44.195","10.555","4.28",""
"1988-3-8T19:2:45.31","1988","03","08","19","02","45","39.778","15.377","4.46",""
"1988-3-10T19:26:0","1988","03","10","19","26","00","41.751","12.670","3.30",""
"1988-3-15T12:3:16.17","1988","03","15","12","03","16","44.838","10.724","4.57",""
"1988-3-28T7:16:29.49","1988","03","28","07","16","29","42.382","16.571","4.04",""
"1988-3-30T11:19:27.06","1988","03","30","11","19","27","38.406","14.764","4.35",""
"1988-4-1T23:43:23.41","1988","04","01","23","43","23","37.713","15.122","3.10",""
"1988-4-9T10:12:11.5","1988","04","09","10","12","12","42.476","11.674","2.82",""
"1988-4-13T21:28:27.56","1988","04","13","21","28","28","39.682","16.879","4.86",""
"1988-4-26T0:53:43.83","1988","04","26","00","53","44","42.366","16.608","5.36",""
"1988-4-26T1:10:11.89","1988","04","26","01","10","12","41.391","18.163","4.17",""
